,Institute Id,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Field
56,IR-E-U-0844,"Indian Institute of Technology, Tirupati",81.96,22.84,66.17,54.00,26.59,Tirupati,Andhra Pradesh,52.73,57,Engineering
57,IR-E-U-0749,Manipal University Jaipur,71.67,40.11,58.63,69.16,5.09,Jaipur,Rajasthan,52.69,58,Engineering
58,IR-E-C-7252,Manipal Institute of Technology,68.27,41.71,60.77,58.59,15.50,Manipal,Karnataka,52.55,59,Engineering
59,IR-E-U-0739,Madan Mohan Malaviya University of Technology,76.52,24.75,68.59,71.41,12.13,Gorakhpur,Uttar Pradesh,52.45,60,Engineering
60,IR-E-U-0255,Indian Institute of Space Science and Technology,75.88,25.19,66.94,60.04,27.34,Thiruvananthapuram,Kerala,52.44,61,Engineering
61,IR-E-U-0530,Motilal Nehru National Institute of Technology,63.15,37.51,74.36,55.38,15.50,Prayagraj,Uttar Pradesh,52.15,62,Engineering
62,IR-E-U-0105,Indraprastha Institute of Information Technology,66.46,30.17,73.74,52.74,23.21,New Delhi,Delhi,51.33,63,Engineering
63,IR-E-U-0878,Indian Institute of Technology Palakkad,74.28,26.02,62.17,65.91,20.87,Palakkad,Kerala,51.20,64,Engineering
64,IR-E-U-0622,National Institute of Technology Delhi,62.76,29.35,71.26,69.51,19.53,Delhi,Delhi,50.79,65,Engineering
65,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,62.42,42.99,62.65,54.21,11.86,SURAT,Gujarat,50.77,66,Engineering
66,IR-E-U-0474,Sathyabama Institute of Science and Technology,70.44,36.38,51.69,71.85,10.76,Chennai,Tamil Nadu,50.64,67,Engineering
67,IR-E-C-37013,PSG College of Technology,70.17,26.31,60.36,47.52,48.83,Coimbatore,Tamil Nadu,50.64,67,Engineering
68,IR-E-U-0221,International Institute of Information Technology Bangalore,68.33,24.19,71.27,59.94,24.63,Bengaluru,Karnataka,50.46,69,Engineering
69,IR-E-C-6379,Netaji Subhas University of Technology (NSUT),68.09,27.14,73.77,51.97,19.08,Delhi,Delhi,50.43,70,Engineering
70,IR-E-U-0389,Banasthali Vidyapith,70.41,24.74,71.47,71.39,4.12,Banasthali,Rajasthan,50.38,71,Engineering
71,IR-E-U-0946,Indian Institute of Technology Bhilai,76.99,24.97,65.13,59.02,8.47,Durg,Chhattisgarh,50.37,72,Engineering
72,IR-E-U-0197,National Institute of Technology Srinagar,62.39,35.08,69.97,64.33,5.73,Srinagar,Jammu and Kashmir,50.23,73,Engineering
73,IR-E-U-0042,University of Hyderabad,66.49,50.21,43.44,48.99,7.57,Hyderabad,Telangana,49.36,74,Engineering
74,IR-E-C-1331,M. S. Ramaiah Institute of Technology,70.38,28.02,62.77,56.51,15.50,Bengaluru,Karnataka,49.26,75,Engineering
75,IR-E-U-0217, Christ University,65.63,47.28,34.52,63.03,19.53,Bengaluru,Karnataka,49.03,76,Engineering
76,IR-E-U-0899,Indian Institute of Technology Dharwad,74.99,17.71,63.79,57.85,22.58,Dharwad,Karnataka,48.61,77,Engineering
77,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,77.78,20.12,67.42,55.98,0.72,Amethi,Uttar Pradesh,48.52,78,Engineering
78,IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,78.11,26.83,51.16,66.44,0.72,Longowal,Punjab,48.42,79,Engineering
